City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Waipawa,NZ,2022-08-06 16:16:08,-41.4122,175.5153,53.58,82,82,17.27
96,Songea,TZ,2022-08-06 16:16:09,-10.6833,35.65,64.74,44,30,3.78
97,Touros,BR,2022-08-06 16:16:09,-5.1989,-35.4608,83.1,64,83,17.05
98,East London,ZA,2022-08-06 16:16:10,-33.0153,27.9116,59.94,88,20,10.36
99,Puerto Ayora,EC,2022-08-06 16:16:10,-0.7393,-90.3518,76.96,90,92,10.0
100,Ponta Do Sol,PT,2022-08-06 16:16:10,32.6667,-17.1,80.71,73,0,3.71
101,Cape Town,ZA,2022-08-06 16:16:10,-33.9258,18.4232,62.11,69,20,14.0
102,Hermanus,ZA,2022-08-06 16:16:11,-34.4187,19.2345,55.8,73,100,22.44
103,Hithadhoo,MV,2022-08-06 16:16:11,-0.6,73.0833,82.89,72,48,10.8
104,Komsomolskiy,UZ,2022-08-06 16:16:11,40.4272,71.7189,83.28,23,1,7.83
105,Avera,US,2022-08-06 16:16:12,33.194,-82.5271,89.55,54,72,6.51
106,Cambados,ES,2022-08-06 16:16:12,42.5122,-8.8131,79.79,60,3,5.7
107,Carbonia,IT,2022-08-06 16:13:21,39.1672,8.5222,95.02,43,1,12.28
108,Saint George,US,2022-08-06 16:16:12,37.1041,-113.5841,88.63,43,0,3.44
109,Makaryev,RU,2022-08-06 16:16:13,57.8797,43.8069,73.87,64,87,4.85
110,Kodiak,US,2022-08-06 16:16:13,57.79,-152.4072,53.11,76,40,0.0
111,Klaksvik,FO,2022-08-06 16:16:13,62.2266,-6.589,54.52,99,100,11.7
112,Airai,TL,2022-08-06 16:16:14,-8.9266,125.4092,58.32,96,95,2.73
113,Khandyga,RU,2022-08-06 16:12:15,62.6667,135.6,64.2,64,100,3.49
114,Tahta,EG,2022-08-06 16:16:14,26.7693,31.5021,100.83,14,7,15.17
115,Kiunga,PG,2022-08-06 16:16:14,-6.1219,141.2906,73.04,99,100,1.43
116,Fairbanks,US,2022-08-06 16:16:15,64.8378,-147.7164,51.76,90,100,6.91
117,Sefton,NZ,2022-08-06 16:16:15,-43.25,172.6667,49.96,94,5,4.09
118,Florianopolis,BR,2022-08-06 16:16:15,-27.6146,-48.5012,63.63,61,75,8.05
119,Rafraf,TN,2022-08-06 16:16:16,37.1904,10.1837,88.12,64,8,10.18
120,Kyren,RU,2022-08-06 16:16:16,51.6828,102.1408,52.45,81,86,0.85
121,Marawi,PH,2022-08-06 16:16:16,7.9986,124.2928,68.92,98,100,2.39
122,Kargalinskaya,RU,2022-08-06 16:16:17,43.7417,46.4792,72.46,66,41,8.34
123,Camacha,PT,2022-08-06 16:16:17,33.0833,-16.3333,72.82,64,40,12.66
124,Ribeira Grande,PT,2022-08-06 16:16:17,38.5167,-28.7,77.4,78,20,11.5
125,Kommunisticheskiy,RU,2022-08-06 16:16:18,61.6789,64.4819,68.9,64,88,1.52
126,Alofi,NU,2022-08-06 16:16:18,-19.0595,-169.9187,71.49,94,100,10.36
127,Katherine,AU,2022-08-06 16:16:18,-14.4667,132.2667,82.72,47,75,8.05
128,Kapaa,US,2022-08-06 16:16:10,22.0752,-159.319,73.72,93,75,6.91
129,Kerouane,GN,2022-08-06 16:16:19,9.2667,-9.0167,78.6,82,70,3.67
130,Sorong,ID,2022-08-06 16:16:19,-0.8833,131.25,77.25,90,100,7.56
131,Katangli,RU,2022-08-06 16:16:19,51.7102,143.2326,52.41,97,100,13.51
132,Nemuro,JP,2022-08-06 16:14:16,43.3236,145.575,60.37,88,100,9.91
133,Pisco,PE,2022-08-06 16:16:20,-13.7,-76.2167,63.01,77,75,8.05
134,Suntar,RU,2022-08-06 16:16:20,62.1444,117.6319,50.95,82,100,3.91
135,Manta,EC,2022-08-06 16:16:20,-0.95,-80.7333,76.78,78,100,6.91
136,Saint Anthony,US,2022-08-06 16:17:21,45.0205,-93.218,73.92,94,75,11.5
137,Agustin Codazzi,CO,2022-08-06 16:17:21,10.0341,-73.2361,89.58,64,100,4.21
138,Kaitangata,NZ,2022-08-06 16:17:21,-46.2817,169.8464,45.72,83,90,6.13
139,Pacific Grove,US,2022-08-06 16:17:22,36.6177,-121.9166,65.88,84,84,3.0
140,Tuktoyaktuk,CA,2022-08-06 16:17:22,69.4541,-133.0374,59.0,94,100,10.36
141,Zinder,NE,2022-08-06 16:17:22,13.8072,8.9881,96.76,46,20,9.22
142,Nikolskoye,RU,2022-08-06 16:17:23,59.7035,30.7861,66.78,97,100,9.17
143,Hovd,MN,2022-08-06 16:17:23,48.0056,91.6419,63.61,37,99,3.6
144,Esperance,AU,2022-08-06 16:17:23,-33.8667,121.9,54.45,62,50,11.5
145,Mersing,MY,2022-08-06 16:17:14,2.4312,103.8405,75.11,94,40,4.61
146,Zlocieniec,PL,2022-08-06 16:17:24,53.5329,16.0113,68.7,49,6,13.62
147,Matamoros,MX,2022-08-06 16:17:24,25.5333,-103.25,84.31,34,0,11.5
148,Kendari,ID,2022-08-06 16:17:25,-3.945,122.4989,73.74,96,100,1.36
149,Gigmoto,PH,2022-08-06 16:17:25,13.7796,124.39,78.89,86,100,9.13
150,Kitimat,CA,2022-08-06 16:17:25,54.0524,-128.6534,65.91,44,100,2.57
151,Nakasongola,UG,2022-08-06 16:17:26,1.3089,32.4564,74.52,54,98,6.33
152,Turkan,AZ,2022-08-06 16:17:26,40.3639,50.215,78.98,73,20,23.02
153,Jamestown,US,2022-08-06 16:14:00,42.097,-79.2353,82.02,61,100,6.91
154,Tual,ID,2022-08-06 16:17:26,-5.6667,132.75,79.32,84,92,6.85
155,Dickinson,US,2022-08-06 16:15:00,29.4608,-95.0513,83.05,88,75,4.61
156,Tecoanapa,MX,2022-08-06 16:17:27,16.5167,-98.75,82.24,71,99,2.24
157,Kudahuvadhoo,MV,2022-08-06 16:17:27,2.6708,72.8944,82.38,77,89,13.89
158,Bardiyah,LY,2022-08-06 16:17:27,31.7561,25.0865,83.37,56,0,18.81
159,San Policarpo,PH,2022-08-06 16:17:28,12.1791,125.5072,78.31,82,100,6.2
160,Ahipara,NZ,2022-08-06 16:17:28,-35.1667,173.1667,59.92,93,100,10.31
161,Maningrida,AU,2022-08-06 16:17:28,-12.0667,134.2667,71.02,82,2,6.96
162,Kalemie,CD,2022-08-06 16:17:29,-5.9475,29.1947,75.07,54,13,4.23
163,Chicama,PE,2022-08-06 16:17:29,-7.8447,-79.1469,59.54,65,95,7.25
164,Qaqortoq,GL,2022-08-06 16:17:29,60.7167,-46.0333,45.63,93,96,10.85
165,Belmonte,BR,2022-08-06 16:17:30,-15.8631,-38.8828,79.38,57,4,6.51
166,Sobolevo,RU,2022-08-06 16:17:30,54.4299,31.8996,75.04,76,3,6.44
167,Peniche,PT,2022-08-06 16:17:30,39.3558,-9.3811,75.29,76,37,10.89
168,Pa Sang,TH,2022-08-06 16:17:31,18.5262,98.9394,81.01,56,93,2.93
169,Tighina,MD,2022-08-06 16:17:31,46.8306,29.4711,84.97,36,87,4.72
170,Achit,RU,2022-08-06 16:17:31,56.7985,57.8994,69.26,66,86,4.09
171,Bredasdorp,ZA,2022-08-06 16:17:32,-34.5322,20.0403,55.45,74,100,16.91
172,Miri,MY,2022-08-06 16:17:26,4.4148,114.0089,78.94,89,20,3.44
173,Humberto De Campos,BR,2022-08-06 16:17:32,-2.5983,-43.4611,90.32,46,24,7.76
174,Sal Rei,CV,2022-08-06 16:17:32,16.1833,-22.9167,77.2,94,75,3.44
175,Teguldet,RU,2022-08-06 16:17:33,57.3064,88.1667,55.76,95,86,2.48
176,Chuy,UY,2022-08-06 16:17:33,-33.6971,-53.4616,53.26,65,99,6.85
177,Carnarvon,AU,2022-08-06 16:17:33,-24.8667,113.6333,64.26,55,0,14.5
178,Libertador General San Martin,AR,2022-08-06 16:17:33,-23.8064,-64.7876,73.98,36,0,6.11
179,Rio Gallegos,AR,2022-08-06 16:17:34,-51.6226,-69.2181,37.45,100,100,3.44
180,Saint-Philippe,RE,2022-08-06 16:17:34,-21.3585,55.7679,69.39,72,54,6.46
181,Souillac,MU,2022-08-06 16:18:35,-20.5167,57.5167,70.18,83,40,13.8
182,Kruisfontein,ZA,2022-08-06 16:18:35,-34.0033,24.7314,56.88,81,83,9.57
183,Fort-Shevchenko,KZ,2022-08-06 16:18:35,44.5086,50.263,79.66,66,100,22.17
184,Akyab,MM,2022-08-06 16:18:36,20.15,92.9,82.44,83,49,15.64
185,Marolambo,MG,2022-08-06 16:18:36,-20.05,48.1167,60.8,98,12,0.69
186,Saryozek,KZ,2022-08-06 16:18:36,44.3583,77.9753,73.92,30,24,8.14
187,Providencia,MX,2022-08-06 16:18:36,28.7167,-111.5833,86.2,51,72,0.78
188,Svetlaya,RU,2022-08-06 16:18:37,46.5389,138.3297,66.0,99,100,6.33
189,Boueni,YT,2022-08-06 16:18:37,-12.9025,45.0761,75.18,63,5,7.87
190,Yanam,IN,2022-08-06 16:18:37,16.7333,82.2167,78.71,80,100,6.98
191,Shetpe,KZ,2022-08-06 16:18:38,44.1667,52.1167,84.02,28,100,9.62
192,Beloha,MG,2022-08-06 16:18:38,-25.1667,45.05,64.83,82,1,6.46
193,Salreu,PT,2022-08-06 16:18:38,40.7397,-8.5572,73.47,74,11,7.25
194,La Ronge,CA,2022-08-06 16:18:39,55.1001,-105.2842,66.45,55,20,9.22
195,Port-Gentil,GA,2022-08-06 16:18:39,-0.7193,8.7815,76.96,73,40,12.66
196,Njombe,TZ,2022-08-06 16:18:39,-9.3333,34.7667,55.09,65,66,7.81
197,Lompoc,US,2022-08-06 16:18:40,34.6391,-120.4579,62.6,95,100,12.66
198,Niamey,NE,2022-08-06 16:18:40,13.5137,2.1098,95.29,38,40,8.05
199,Dwarka,IN,2022-08-06 16:18:40,22.2394,68.9678,82.42,81,54,9.8
200,Saskylakh,RU,2022-08-06 16:18:41,71.9167,114.0833,48.25,63,100,7.99
201,Bethel,US,2022-08-06 16:18:41,41.3712,-73.414,91.15,60,0,12.66
202,Tura,IN,2022-08-06 16:18:41,25.5198,90.2201,74.71,97,55,1.72
203,Longyan,CN,2022-08-06 16:18:41,25.1072,117.0225,76.08,85,97,1.25
204,Maroua,CM,2022-08-06 16:18:42,10.591,14.3159,90.23,46,60,6.82
205,Mountain Home,US,2022-08-06 16:18:42,43.133,-115.6912,74.68,50,0,6.91
206,Alice Springs,AU,2022-08-06 16:18:43,-23.7,133.8833,40.55,52,0,0.0
207,Iqaluit,CA,2022-08-06 16:18:27,63.7506,-68.5145,44.22,73,75,8.41
208,Mitsamiouli,KM,2022-08-06 16:18:43,-11.3847,43.2844,76.59,66,79,7.81
209,Hasaki,JP,2022-08-06 16:18:43,35.7333,140.8333,73.8,81,88,5.21
210,Maniitsoq,GL,2022-08-06 16:18:44,65.4167,-52.9,42.03,89,54,16.98
211,Washougal,US,2022-08-06 16:17:08,45.5826,-122.3534,71.67,70,0,1.99
212,Nucsoara,RO,2022-08-06 16:18:44,45.3333,24.7833,76.93,54,79,3.4
213,Port Elizabeth,ZA,2022-08-06 16:16:15,-33.918,25.5701,59.09,97,68,5.01
214,Iskateley,RU,2022-08-06 16:18:44,67.6803,53.1512,76.8,60,63,7.9
215,Maltahohe,NA,2022-08-06 16:18:45,-24.8333,16.9833,74.93,18,12,19.01
216,Amahai,ID,2022-08-06 16:18:45,-3.3333,128.9167,75.43,92,100,1.72
217,Leningradskiy,RU,2022-08-06 16:18:45,69.3833,178.4167,35.73,93,98,0.36
218,Nanortalik,GL,2022-08-06 16:18:46,60.1432,-45.2371,44.85,97,100,7.96
