City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Saint-Prosper,CA,56.03,moderate rain,46.2117,-70.4811,Residence Beau Séiour
506,Svetlogorsk,BY,64.54,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
509,San Quintin,MX,76.44,scattered clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
510,Gavle,SE,68.92,scattered clouds,60.6745,17.1417,Scandic CH
511,Ndele,CF,73.74,broken clouds,8.4109,20.6473,
512,Sivas,TR,69.58,clear sky,39.7916,37.0019,Sivas Sultan Otel
513,Enniscorthy,IE,73.81,few clouds,52.5008,-6.5578,Riverside Park Hotel & Leisure Club
514,Lumsden,CA,79.02,clear sky,50.6501,-104.8678,Lumsden Hotel & Steak Pit
516,Svetlaya,RU,62.82,clear sky,46.5389,138.3297,
517,Ipswich,GB,77.14,scattered clouds,52.0592,1.1555,Novotel Ipswich Centre
518,Zhezkazgan,KZ,62.58,broken clouds,47.8043,67.7144,Hotel Zumrat
519,Polunochnoye,RU,70.23,overcast clouds,60.8697,60.4153,
520,Pushkinskiye Gory,RU,61.97,overcast clouds,57.0209,28.9103,"The recreation center ""Pushkinogorye"""
521,Tigre,AR,57.34,scattered clouds,-34.426,-58.5796,Puerto Delta Apartamentos
524,Stornoway,GB,62.56,overcast clouds,58.2093,-6.3865,Caladh Inn
526,Springbok,ZA,55.54,broken clouds,-29.6643,17.8865,Undulata Country Lodge
527,Ust-Nera,RU,60.28,broken clouds,64.5667,143.2,Hotel Ust-Nera
528,Clacton-On-Sea,GB,77.34,clear sky,51.7897,1.156,The Sandrock
529,Hohhot,CN,66.49,scattered clouds,40.8106,111.6522,Sheraton Hohhot Hotel
530,Sosva,RU,68.92,light rain,59.1766,61.8558,Gostinitsa
532,Sanok,PL,65.08,overcast clouds,49.5557,22.2056,Jagielloński Hotel i Restauracja
533,Zalantun,CN,57.94,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
534,Kamyshla,RU,73.31,overcast clouds,54.1169,52.1426,Дом 100 м.кв. на трассе М5
540,Varhaug,NO,64.78,scattered clouds,58.6147,5.6457,Jonas Bue
541,Jiangyou,CN,78.26,scattered clouds,31.7667,104.7167,Shangping Shuyuan Inn
542,Aberdeen,GB,75.49,few clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
543,Santiago Del Estero,AR,56.28,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
547,Baykit,RU,60.24,overcast clouds,61.67,96.37,
548,Mitsamiouli,KM,75.9,clear sky,-11.3847,43.2844,Foyer ADM
549,Jardim,BR,76.01,light rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
551,Novosergiyevka,RU,78.13,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
553,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
554,Saint Anthony,US,72.14,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
555,Moissala,TD,74.48,moderate rain,8.3404,17.7663,
556,Buenos Aires,AR,57.09,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
557,Carberry,CA,73.63,few clouds,49.8689,-99.3602,Carberry Motor Inn
561,Axim,GH,77.59,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
562,Jumla,NP,63.37,broken clouds,29.2747,82.1838,Royal Garden Hotel
